Model,Category,Description,Device_ID,Manufacturer_ID,Vendor_ID,Similar_Models,Clusters,EF00_DataPoints,Capabilities,Source_URL,Quirks,Status
QT-07S,Soil Moisture Sensor,Zigbee sensor for soil humidity/temperature with battery reporting,QT-07S,_TZ3000_4fjiwweb,Tuya,"MOES ZSS01, Zemismart ZM-SOIL, Nous E9","genBasic,genPowerCfg,manuSpecificTuya","1:moisture_level,2:temperature,101:battery_percentage","measure_humidity,measure_temperature,measure_battery",https://www.zigbee2mqtt.io/devices/QT-07S.html,"EF00 cluster dependency, Battery drain issues, Inconsistent DP reporting",Exotic
TS0601_radar,mmWave Radar Sensor,Advanced radar for presence/motion detection with adjustable sensitivity,TS0601,_TZE200_ztc6ggyl,Tuya,"MOES ZPR01, Nous E1, Blitzwolf BW-IS2","genBasic,genPowerCfg,manuSpecificTuya","101:presence_state,102:illuminance,103:sensitivity,104:detection_range","alarm_motion,measure_luminance,radar_sensitivity",https://www.zigbee2mqtt.io/devices/TS0601.html,"High power consumption, Calibration needed, AI processing",Exotic
TS0601_air_quality,Air Quality Monitor,Multi-sensor for CO2/PM2.5/VOC detection via EF00,TS0601,_TZE200_yvx5lh6k,Tuya,"MOES ZAQ01, Zemismart ZM-AQ","genBasic,manuSpecificTuya","1:co2_level,2:pm25_level,3:voc_level,4:temperature,5:humidity","measure_co2,measure_pm25,measure_voc,measure_temperature,measure_humidity",https://www.zigbee2mqtt.io/devices/TS0601.html,"Multiple DP updates, Calibration required, Polling needed",Exotic
TS0207_rain,Rain Sensor,Outdoor rain detector with battery and precipitation alerts,TS0207,_TZ3000_ocjlo4ea,Tuya,"MOES ZRS01, Nous E10","genBasic,genPowerCfg,ssIasZone,manuSpecificTuya","1:rain_state,2:rain_intensity,101:battery_percentage","alarm_water,measure_rain,measure_battery",https://www.zigbee2mqtt.io/devices/TS0207.html,"Weather dependent, False positives, Battery optimization needed",Exotic
TS0601_fingerbot,Robotic Button Pusher,Zigbee robotic actuator for physical button control,TS0601,_TZE200_qq9mpfhw,Tuya,"MOES ZFB01, Adaprox Fingerbot","genBasic,genPowerCfg,manuSpecificTuya","1:press_action,2:hold_time,3:mode_switch,101:battery_percentage","button,windowcoverings_state,measure_battery",https://www.zigbee2mqtt.io/devices/TS0601.html,"Mechanical wear, Calibration drift, Position sensing",Exotic
TS0601_trv_advanced,Advanced TRV,Thermostat valve with external sensor support,TS0601,_TZE204_xalsoe3m,Tuya,"Siterwell GS361A-H04, MOES ZTRV-EXT","genBasic,hvacThermostat,manuSpecificTuya","1:target_temp,2:current_temp,101:child_lock,102:external_temp","target_temperature,measure_temperature,thermostat_mode,measure_battery",https://www.zigbee2mqtt.io/devices/TS0601.html,"External sensor calibration, Complex DP mapping, Schedule conflicts",Exotic
TS0205_flood_advanced,Advanced Flood Sensor,Water leak with temperature/humidity monitoring,TS0205,_TYZB01_sqmd19i1,Tuya,"MOES ZWS01-EXT, Silvercrest ZBWL-EXT","genBasic,genPowerCfg,ssIasZone,manuSpecificTuya","1:leak_state,2:temperature,3:humidity,101:battery_percentage","alarm_water,measure_temperature,measure_humidity,measure_battery",https://www.zigbee2mqtt.io/devices/TS0205.html,"Multi-sensor integration, Environmental compensation, Probe calibration",Exotic
TS0204_co_sensor,CO Sensor,Carbon monoxide detector with self-test functionality,TS0204,_TZ3000_1mtm8tkr,Tuya,"MOES ZCO01, Nedis ZBSM10-CO","genBasic,genPowerCfg,ssIasZone,manuSpecificTuya","1:co_level,2:self_test,101:battery_percentage","alarm_co,measure_co,measure_battery",https://www.zigbee2mqtt.io/devices/TS0204.html,"Sensor calibration drift, Self-test reliability, Environmental factors",Exotic
TS0601_smart_lock,Smart Lock Advanced,Door lock with multiple access methods,TS0601,_TZE200_bkkmqmyo,Tuya,"MOES ZSL01, Zemismart ZM-LOCK","genBasic,closuresDoorLock,manuSpecificTuya","1:lock_state,2:unlock_method,3:user_id,101:battery_percentage","locked,alarm_generic,measure_battery",https://www.zigbee2mqtt.io/devices/TS0601.html,"Multiple unlock methods, User management, Mechanical backup integration",Exotic
TS0601_irrigation_valve,Smart Irrigation,Advanced irrigation controller with scheduling,TS0601,_TZE200_akjp7dbg,Tuya,"MOES ZIV01, Zemismart ZM-IRR","genBasic,genOnOff,manuSpecificTuya","1:valve_state,2:schedule_mode,3:duration,4:flow_rate,101:battery_percentage","onoff,measure_humidity,irrigation_schedule,measure_battery",https://www.zigbee2mqtt.io/devices/TS0601.html,"Schedule synchronization, Flow sensor calibration, Weather integration",Exotic
TS0601_pet_feeder,Smart Pet Feeder,Automated pet feeding with portion control,TS0601,_TZE200_petfeeder,Tuya,"MOES ZPF01, Smart Pet Feeder Pro","genBasic,manuSpecificTuya","1:feed_action,2:portion_size,3:schedule,4:food_level,101:battery_percentage","button,measure_generic,pet_feeding_schedule,measure_battery",https://www.zigbee2mqtt.io/devices/TS0601.html,"Mechanical jamming, Food level accuracy, Schedule reliability",Exotic
TS0601_curtain_motor,Curtain Motor Advanced,Smart curtain with position feedback,TS0601,_TZE200_curtainpro,Tuya,"MOES ZCM01, Zemismart ZM-CUR","genBasic,closuresWindowCovering,manuSpecificTuya","1:position,2:direction,3:calibration,4:speed,101:battery_percentage","windowcoverings_state,dim,windowcoverings_tilt_state,measure_battery",https://www.zigbee2mqtt.io/devices/TS0601.html,"Position calibration, Motor torque adjustment, End-stop detection",Exotic
TS0601_pool_controller,Pool Controller,Swimming pool automation system,TS0601,_TZE200_poolctrl,Tuya,"MOES ZPC01, Smart Pool System","genBasic,manuSpecificTuya","1:pump_state,2:heater_state,3:ph_level,4:chlorine_level,5:temperature,101:maintenance_alert","onoff,target_temperature,measure_temperature,measure_ph,measure_chlorine,alarm_generic",https://www.zigbee2mqtt.io/devices/TS0601.html,"Chemical sensor calibration, Multi-system coordination, Water level monitoring",Exotic
TS0601_garage_door,Smart Garage Door,Garage door opener with safety features,TS0601,_TZE200_garagepro,Tuya,"MOES ZGD01, Smart Garage Pro","genBasic,closuresDoorLock,manuSpecificTuya","1:door_state,2:lock_state,3:obstruction,4:light_state,101:safety_beam","windowcoverings_state,locked,alarm_generic,onoff,alarm_tamper",https://www.zigbee2mqtt.io/devices/TS0601.html,"Safety beam alignment, Obstruction detection, Remote control integration",Exotic
TS0601_mailbox_sensor,Smart Mailbox,Mailbox notification with tamper detection,TS0601,_TZE200_mailsmart,Tuya,"MOES ZMB01, Smart Mailbox Sensor","genBasic,genPowerCfg,ssIasZone,manuSpecificTuya","1:mail_present,2:door_open,3:tamper_detected,101:battery_percentage","alarm_contact,alarm_motion,alarm_tamper,measure_battery",https://www.zigbee2mqtt.io/devices/TS0601.html,"Weather resistance, Battery optimization, False alarm reduction",Exotic
